Begin,End,Event-no-links,Event_link_1,details_link,Theater,Source,Source URL
02/11/1914,,Battle of Tanga. The first action of a long-running campaign in East Africa. German forces led by Colonel Paul von Lettow-Vorbeck defeat British and Indian troops. Fighting continues until 5 November. The campaign lasts until November 1918.,124,,Military,,
03/11/1914,,British ships blockading the Dardanelles bombard the Turkish forts guarding the entrance to the Straits,125,,Naval,,
05/11/1914,,Britain and France declare war on Turkey,126,,Political,,
06/11/1914,,"Indian Army troops land in Mesopotamia to protect British oil interests in neighbouring Persia, and encourage an Arab revolt against Turkish rule",127,,Military,,
07/11/1914,,"Japanese troops, with British support, capture the German naval base of Tsingtau",128,,Military,,
22/11/1914,,British troops enter Basra in Mesopotamia at the head of the Persian Gulf,129,,Military,,
02/12/1914,,"Capture of Belgrade, the Serbian capital, by the Austro-Hungarians",130,,Military,,
03/12/1914,,Troops of the Australian and New Zealand Army Corps (ANZAC) disembark in Egypt to complete their training after it is decided conditions in Britain are unsuitable,131,,Social,,
08/12/1914,,"Battle of the Falklands. In the South Atlantic, a reinforced British naval squadron defeats the German East Asiatic Squadron.",132,,Naval,,
15/12/1914,,Recapture of Belgrade by Serbian forces,133,,Military,,
16/12/1914,,"Bombardment of Scarborough, Hartlepool and Whitby on the British east coast by German battlecruisers. 137 civilians are killed.",134,,Social,,
17/12/1914,,"Turkish forces launch attacks on the Russians in the Caucasus. In difficult conditions, the Russians initially do badly but soon recover. Fighting continues until 18 January 1915.",135,,Military,,
21/12/1914,,First German aircraft raid on British south coast towns,136,,Aviation,,
29/12/1914,,Battle of Sarikamish in the Caucasus. Russian troops initially pushed back by the Turks before the situation is reversed. Battle continues until 2 January 1915. ,137,,Military,,
04/01/1915,,London Stock Exchange reopens for the first time since the outbreak of war,138,,Social,,
19/01/1915,,"German airships raid Britain for the first time, attacking Great Yarmouth and King's Lynn. Five people are killed.",139,,Aviation,,
24/01/1915,,Action of the Dogger Bank. Encounter between British and German battlecruisers in the North Sea.,140,,Naval,,
31/01/1915,,"On the Eastern Front, Germans use asphyxiating gas in artillery shells for the first time at the Battle of Bolimov",141,,Military,,
03/02/1915,,Turkish forces cross the Sinai Desert and assault the Suez Canal. The attack is strongly defeated.,142,,Military,,
04/02/1915,,"Germany announces its first sustained U-boat (submarine) campaign against merchant and passenger ships approaching Britain. Ships will be sunk without warning, including neutral vessels. Continues until September.",143,,Naval,,
08/02/1915,,"Winter Battle of Masuria. In East Prussia, Germans defeat the Russians who begin to retreat. Battle continues until 22 February.",144,,Military,,
19/02/1915,,"Royal Navy ships begin shelling the forts guarding the entrance to the Dardanelles in Turkey. The aim is for the ships to force their way through the Dardanelles and capture the Turkish capital, Constantinople (present day Istanbul).",145,,Naval,,
10/03/1915,,Battle of Neuve Chapelle. British and Indian troops undertake their first offensive in France with limited success.,146,,Military,,
11/03/1915,,Royal Navy warships begin a concerted blockade of Germany and its ports,147,,Naval,,
12/03/1915,,Britain forms the Mediterranean Expeditionary Force under General Sir Ian Hamilton to carry out military operations at the Dardanelles,148,,Military,,
18/03/1915,,British and French warships at the Dardanelles try to force their way through the Narrows. Three ships are sunk; three are badly damaged. Naval operations are suspended.,149,,Naval,,
21/03/1915,,German airships raid Paris for the first time,150,,Aviation,,
22/03/1915,,Russians capture the Austro-Hungarian city of Przemysl,151,,Military,,
22/04/1915,,"Second Battle of Ypres. Germans launch major assault on French, British and Canadian troops around Ypres and use poison gas extensively for the first time. Fighting continues until 27 May.",152,,Military,,
25/04/1915,,"First landing at Gallipoli. British, French, Australian and New Zealand troops land on and around the Gallipoli peninsula in support of the naval attack on the Dardanelles. Fighting continues until January 1916.",153,,Military,,
26/04/1915,,"Italy signs the Pact of London, effectively joining the war on the Allied side. In 1914, Italy had been a member of the Triple Alliance with Germany and Austria-Hungary.",154,,Political,,
02/05/1915,,"Battle of Gorlice–Tarnow. German and Austro-Hungarian armies defeat the Russians in the centre of their line and begin to drive them back. After weeks of retreat, the Russians lose most of their territory in Poland.",155,,Military,,
07/05/1915,,"German submarine U-20 sinks the luxury passenger liner Lusitania off the west coast of Ireland. 1198 people are killed, including 128 US citizens.",156,,Naval,,
09/05/1915,,Second Battle of Artois. French launch attack for limited gains. Battle lasts until 18 June.,157,,Military,,
09/05/1915,,"Battle of Aubers Ridge. To support French operations in Artois, British troops attack in French Flanders but achieve no real gains. Battle continues until 10 May.",158,,Military,,
09/05/1915,,"First units of Kitchener's New Armies, forming the 9th (Scottish) Division, leave Britain for overseas service",159,,Social,,
15/05/1915,,Battle of Festubert. British troops undertake another attack in French Flanders only a short distance from Aubers Ridge. Battle carries on until 25 May.,160,,Military,,
19/05/1915,,"Defence of Anzac. At Gallipoli, Australian and New Zealand troops fight off a very heavy Turkish attack. After weeks of effort on both sides, it is clear stalemate has been reached.",161,,Military,,
23/05/1915,,Italy declares war on Austria-Hungary and moves to secure strategically important points along their shared border,162,,Political,,
25/05/1915,,"Coalition government formed by the British Prime Minister Herbert Asquith as tensions rise over his handling of the war. David Lloyd George, the former Chancellor of the Exchequer, appointed Minister of Munitions to increase the production of weapons and ammunition.",163,,Social,,
31/05/1915,,First German airship raid on London. 7 people are killed and 35 injured.,164,,Aviation,,
01/06/1915,,Increasing numbers of women start to be employed in British munitions factories,165,,Social,,
22/06/1915,,Austro-Hungarian forces recapture the city of Lemberg (Lvov) from the Russians,166,,Military,,
23/06/1915,,"First Battle of the Isonzo. Italian troops attack Austro-Hungarians in north-eastern Italy, aiming to reach Trieste. Disappointing results but operations continue until 7 July.",167,,Military,,
09/07/1915,,German South-West Africa surrenders to South African forces led by General Louis Botha,168,,Military,,
13/07/1915,,Germans and Austro-Hungarians launch a major offensive against the Russians,169,,Military,,
15/07/1915,,"National Registration Act introduced in Britain, obliging all elgible men to register for military service",170,,Social,,
18/07/1915,,Second Battle of the Isonzo. Second in a series of eleven battles launched along the Isonzo river in north-eastern Italy. Fighting on the Isonzo continues until October 1917.,171,,Military,,
28/07/1915,,Pope Benedict XV issues call for peace to all those fighting ,172,,Social,,
06/08/1915,,"Second landing at Gallipoli. After all attempts to move inland have been defeated, a new British landing is made at Suvla Bay, linked to an assault on the hills beyond the Australian and New Zealand position. The operations fail.",173,,Military,,
16/08/1915,,"Whitehaven in Cumberland, on Britain's west coast, shelled by a German U-boat",174,,Naval,,
25/08/1915,,German and Austro-Hungarian forces capture the fortress of Brest-Litovsk in Russian Poland,175,,Military,,
25/09/1915,,"Co-ordinated Allied offensive in France, with French attacks in the Second Battle of Champagne and Third Battle of Artois, and British attacks at the Battle of Loos. The fighting at Loos carries on until 4 November.",176,,Military,,
01/10/1915,,"German Fokker aircraft deployed in numbers along the Western Front. Able to fire directly forward by shooting through the propellor arc, the Fokker establishes German air superiority until Spring 1916.",177,,Aviation,,
05/10/1915,,"British and French troops land in the Greek city of Salonika to support Serbia, by threatening the southern flank of Bulgaria",178,,Military,,
06/10/1915,,Austria-Hungary launches its third invasion of Serbia,179,,Military,,
09/10/1915,,Belgrade captured by the Austro-Hungarians,180,,Military,,
12/10/1915,,"In Brussels the Germans execute the British nurse, Edith Cavell, for espionage and aiding escaped prisoners",181,,Social,,
14/10/1915,,"Bulgaria declares war on Serbia and enters the war on the side of Germany, Austria-Hungary and Turkey",182,,Political,,
15/10/1915,,General Sir Ian Hamilton is replaced in command at Gallipoli by General Sir Charles Monro,183,,Military,,
10/11/1915,,Indian infantry begins to leave France in order to transfer to Mesopotamia,184,,Social,,
22/11/1915,,Serbia defeated by combined armies of Austria-Hungary and Bulgaria. Serbian troops forced to retreat through Albania to the Adriatic coast.,185,,Military,,
22/11/1915,,"Battle of Ctesiphon. In Mesopotamia, Turkish forces stop the Anglo-Indian advance on Baghdad only 40 km (25 miles) south of the city.",186,,Military,,
27/11/1915,,No-Conscription Fellowship holds its first national meeting in London to resist forcible conscription into the army and support conscientious objectors,187,,Social,,
30/11/1915,,"Britain, France, Russia, Japan and Italy jointly renew the Pact of London",188,,Political,,
07/12/1915,,"Siege of Kut begins. After their defeat at Ctesiphon, Anglo-Indian troops fall back on Kut al Amara where they are surrounded by Turkish forces. They eventually surrender on 29 April 1916.",189,,Military,,
19/12/1915,,General Sir Douglas Haig replaces Field Marshal Sir John French as Commander in Chief of the British Expeditionary Force in France and Belgium,190,,Military,,
20/12/1915,,Troops evacuated from the Suvla and Anzac beachheads at Gallipoli,191,,Military,,
09/01/1916,,Last troops evacuated from the Helles beachhead at Gallipoli. Campaign abandoned.,192,,Military,,
10/01/1916,,"In the Caucasus, Russian forces push back the Turks and go on to capture Erzerum and Trabzon. Fighting continues until 18 April.",193,,Military,,
24/01/1916,,First Military Service Act passed by the British parliament making all single men between 18 and 41 eligible for conscription into the army,194,,Social,,
29/01/1916,,Last German airship raid on Paris,195,,Aviation,,
10/02/1916,,Conscription begins in Britain when the Military Service Act comes into effect ,196,,Social,,
18/02/1916,,Last German forces in the Cameroons surrender to British,197,,Military,,
21/02/1916,,"Battle of Verdun. Following a heavy bombardment, Germans launch major attack against the French intending to cause heavy casualties. Fighting continues until 18 December.",198,,Military,,
25/02/1916,,Fort Douamont captured at Verdun by the Germans,199,,Military,,
01/03/1916,,Germans recommence submarine attacks against merchant and passenger vessels approaching Britain. Continues until April.,200,,Naval,,
09/03/1916,,Germany declares war on Portugal,201,,Political,,
24/04/1916,,"Irish republicans launch an uprising  in Dublin. It lasts until 1 May and is suppressed by the British authorities. The leaders are executed, causing deep resentment.",202,,Social,,
29/04/1916,,Siege of Kut ends. Anglo-Indian garrison finally surrenders to the besieging Turkish forces after 143 days.,203,,Military,,
14/05/1916,,"Austro-Hungarians launch an attack against Italian troops on the Asiago front in the Italian alpine region of Trentino, advancing up to 19 km(12 miles). Continues until 10 June.",204,,Military,,
16/05/1916,,"Second Military Service Act passed by the British parliament, extending conscription to married men",205,,Social,,
21/05/1916,,Daylight Saving (British Summer Time) introduced in Britain for the first time to encourage longer working hours in factories and on farms,206,,Social,,
31/05/1916,,"Battle of Jutland. British Grand Fleet confronts the German High Seas Fleet in the North Sea, off the coast of Denmark. Although the British lose more ships, the German fleet is driven back to port and remains there for the rest of the war. ",207,,Naval,,
04/06/1916,,"Led by General Alexei Brusilov, a major Russian offensive is launched in western Ukraine, principally against the Austro-Hungarians, who are forced into steady retreat. Fighting continues until 17 August.",208,,Military,,
05/06/1916,,"British Secretary of State for War, Field Marshal Lord Kitchener, drowned en route to Russia when HMS Hampshire strikes a mine off the Orkney Islands and sinks",209,,Social,,
05/06/1916,,Arab Revolt against Turkish rule launched in the Hejaz region of Arabia by Sherif Hussein of Mecca,210,,Military,,
07/06/1916,,Fort Vaux captured at Verdun by the Germans,211,,Military,,
01/07/1916,,"Battle of the Somme. Major Anglo-French offensive launched in Picardy. On the opening day, the British Army suffers 57,470 casualties, including 19,240 killed – its heaviest ever casualty toll in a 24 hour period. The battle continues until 18 November. ",212,,Military,,
07/07/1916,,David Lloyd George appointed Secretary of State for War in place of the late Lord Kitchener,213,,Social,,
11/07/1916,,"At Verdun, only 5km (three miles) from the city, the Germans suspend their attacks in order to move troops to the Somme",214,,Military,,
14/07/1916,,"Battle of Bazentin Ridge. On the Somme, the British launch a dawn attack that captures the villages of Bazentin and Longueval. British and Indian cavalry make a short-lived charge towards High Wood.",215,,Military,,
19/07/1916,,Battle of Fromelles. Australian and British troops suffer heavy casualties in an attack on the German line in French Flanders.,216,,Military,,
04/08/1916,,"Battle of Romani.  Advancing Turkish forces defeated in the Sinai Desert by Australian, New Zealand and British troops from Egypt. Turks begin to fall back towards Palestine. ",217,,Military,,
06/08/1916,,"Sixth Battle of the Isonzo. Italian troops in the north-east advance and capture Gorizia, one of the few significant advances on the Isonzo front. Fighting continues until 17 August.",218,,Military,,
21/08/1916,,The Battle of the Somme documentary film released for viewing in 34 cinemas in London. Nationwide release follows a week later. The film is the first documentary to show actual footage of men fighting in battle. It is seen by more than 20 million people.,219,,Social,,
27/08/1916,,"Rumania enters the war on the Allied side but is quickly defeated by Germany, Austria-Hungary and Bulgaria",220,,Political,,
28/08/1916,,Italy declares war on Germany,221,,Political,,
29/08/1916,,"In France, General Erich von Falkenhayn is replaced as Chief of the General Staff of the German field armies by Field Marshal Paul von Hindenburg, with General Erich Ludendorff as Chief Quartermaster General",222,,Military,,
03/09/1916,,"First German airship shot down over Britain, to the north of London",223,,Aviation,,
04/09/1916,,British forces take Dar es Salaam in German East Africa,224,,Military,,
15/09/1916,,"Battle of Flers-Courcelette on the Somme. Allied forces advance, using the support of tanks for the first time.",225,,Military,,
26/09/1916,,Village of Thiepval captured on the Somme. Later the site of the great Memorial to the Missing.,226,,Military,,
24/10/1916,,Major French counter-attack at Verdun under General Robert Nivelle pushes the Germans back. Fort Douamont is recaptured by the French. Fighting continues until 18 December.,227,,Military,,
02/11/1916,,Fort Vaux recaptured by the French at Verdun,228,,Military,,
07/11/1916,,Woodrow Wilson re-elected President of the United States of America,229,,Social,,
13/11/1916,,Battle of the Ancre. Final action on the Somme begins.,230,,Military,,
19/11/1916,,Battle of the Somme ends in snow and heavy rain after 142 days of fighting,231,,Military,,
19/11/1916,,"At Salonika, Allied forces liberate the Serbian town of Monastir after an offensive lasting two months",232,,Military,,
07/12/1916,,"Herbert Asquith replaced as British Prime Minister by David Lloyd George, who takes over leadership of the wartime coalition",233,,Social,,
12/12/1916,,"German Chancellor, Theobald von Bethmann-Hollweg, sends a peace note to the Allies offering to open talks in a neutral country",234,,Political,,
12/12/1916,,General Joseph Joffre replaced in command of the French armies by General Robert Nivelle,235,,Military,,
19/12/1916,,Battle of Verdun ends,236,,Military,,
21/12/1916,,"British Prime Minister, David Lloyd George, rejects the German peace note and the offer of talks",237,,Political,,
19/01/1917,,"German Foreign Secretary, Arthur Zimmerman, sends a secret telegram to the German minister in Mexico telling him to offer German support to the Mexicans if they were to attack the United States. The telegram is intercepted by British naval intelligence.",238,,Political,,
01/02/1917,,Germany begins a policy of unrestricted submarine warfare,239,,Naval,,
02/02/1917,,Public campaign launched in Britain to encourage people to eat less bread as a result of shortages,240,,Social,,
03/02/1917,,USA breaks off diplomatic relations with Germany as a result of the resumed submarine campaign,241,,Political,,
24/02/1917,,Kut al Amara recaptured as part of a new British offensive in Mesopotamia aimed at reaching Baghdad,242,,Naval,,
25/02/1917,,"German forces facing the Somme withdraw around 40km (25 miles) to new, strongly prepared defences known to the British as the Hindenburg Line. The withdrawal continues until 5 April.",243,,Military,,
